ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
HEIA.NL,20250403,73.789,73.389,75.269,72.811,74.049,73.649,75.511,73.069,19256
NGAS,20250403,4.1114,3.8139,4.1465,3.8054,4.1204,3.8229,4.1585,3.8174,61427
EURSEK.FXCM,20250403,10.7766,10.9474,11.0909,10.7675,10.8175,10.9684,11.09608,10.8038,737159
TSLA.US,20250403,267.12,239.19,267.12,235.88,267.35,239.42,267.35,236.18,133415
MRNA.US,20250403,25.64,25.06,25.68,23.7,25.77,25.19,25.87,23.84,20653
UAL.US,20250403,60.18,57.6,60.18,51.93,60.31,57.73,60.31,52.1,25614
AD.NL,20250403,35.045,34.459,35.49,34.369,35.175,34.599,35.631,34.5,22584
WHEATF,20250403,537.2,529.34,539.08,519.94,537.56,530.44,540.18,521.04,11684
GBPJPY.FXCM,20250403,191.191,189.195,191.745,187.516,191.468,189.426,191.781,187.551,1795479
BOBL,20250403,118.426,118.869,119.404,118.426,118.446,118.889,119.424,118.446,38028
IIPR.US,20250403,52.56,52.97,54.78,49.93,52.7,53.7,55.24,50.44,2830
KO.US,20250403,73.08,69.87,73.08,69.74,73.21,69.99,73.21,69.88,56444
BT.A.UK,20250403,171.22,162.14,173.55,161.46,173.12,164.04,175.19,162.54,14198
BA.UK,20250403,1618.05,1524.31,1634.31,1486.29,1625.45,1531.71,1641.71,1494.19,37932
CASINOS,20250403,2000.14,1920.13,2000.14,1823.01,2001.14,1921.13,2001.14,1827.84,101861
URNM.US,20250403,31.18,29.15,31.18,28.18,31.68,29.48,31.68,28.37,2429
FCEL.US,20250403,4.76,4.39,4.76,4.07,4.88,4.52,4.9,4.21,2686
GLE.FR,20250403,38.4,34.27,38.4,33.06,38.53,34.41,38.53,33.2,104498
HEATINGOILF,20250403,2.1742,2.0893,2.183,2.0368,2.1862,2.1013,2.188,2.0418,225783
NZDUSD.FXCM,20250403,0.57927,0.55917,0.57962,0.55506,0.57952,0.56042,0.58025,0.55526,545460
EURGBP.FXCM,20250403,0.84339,0.84927,0.85232,0.84248,0.84391,0.85067,0.85251,0.84347,607914
US.BANKS,20250403,4170.01,3840.56,4170.01,3764.86,4171.01,3841.56,4171.01,3768.6,271380
CZR.US,20250403,23.62,23.1,23.62,21.32,23.75,23.23,23.8,21.5,33435
PYPL.US,20250403,61.65,58.3,61.65,57.24,61.79,58.43,61.79,57.4,74060
ABNB.US,20250403,113.86,106.55,113.86,104.5,114.09,106.78,114.09,104.9,14365
CHWY.US,20250403,33.65,31.42,34.15,30.94,33.78,31.55,34.32,31.1,12843
BAS.DE,20250403,43.32,41.57,43.32,39.32,43.46,41.7,43.46,40.58,101192
GBPCHF.FXCM,20250403,1.12494,1.10657,1.12495,1.10194,1.12644,1.10952,1.12662,1.10235,608796
JPN225,20250403,33689.89,32317.52,34415.04,32047.53,33694.89,32322.52,34434.53,32057.53,271462
LYFT.US,20250403,11.41,10.77,11.41,10.3,11.55,10.91,11.55,10.44,17408
SNOW.US,20250403,139.42,130.2,139.42,125.28,139.65,130.43,139.65,125.63,17226
CHFJPY.FXCM,20250403,169.874,170.54,171.438,169.585,170.101,170.839,171.472,169.648,929092
US.ECOMM,20250403,2022.13,1915.81,2022.13,1906.75,2023.13,1916.81,2023.13,1909.32,302117
HUT.US,20250403,11.86,11.35,11.86,9.94,12.0,11.49,12.0,10.1,25351
JD.US,20250403,39.84,36.73,39.84,34.78,39.98,36.86,39.98,34.94,49418
CHN.TECH,20250403,1789.25,1636.76,1789.25,1583.26,1790.25,1637.76,1790.25,1592.5,58505
WBC.AU,20250403,31.67,30.84,31.67,30.8,31.8,30.97,31.8,30.93,15297
DAL.US,20250403,38.6,37.15,38.6,34.73,38.74,37.28,38.74,34.88,29117
AZN.UK,20250403,11337.06,10789.04,11337.06,10779.54,11394.96,10846.94,11394.96,10838.44,60417
CBK.DE,20250403,21.57,20.45,21.57,19.01,21.7,20.58,21.7,19.63,38645
