ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
CRWD.US,20250403,347.4,321.56,347.4,310.14,347.63,321.78,347.63,310.57,15549
PDD.US,20250403,113.65,104.0,113.65,99.07,113.88,104.23,113.88,99.38,32290
USDSEK.FXCM,20250403,9.74834,9.96522,10.09734,9.7403,9.78768,10.01365,10.10297,9.74702,1149572
PFE.US,20250403,24.24,22.94,24.24,22.88,24.37,23.07,24.37,23.02,15003
BNP.FR,20250403,73.76,68.28,73.76,66.63,73.98,68.51,73.98,66.87,143124
AMZN.US,20250403,178.31,171.0,178.31,166.06,178.54,171.23,178.54,166.42,174374
USDNOK.FXCM,20250403,10.2984,10.73753,10.82451,10.2984,10.3494,10.77975,10.83378,10.30634,1092649
CCL.US,20250403,17.2,16.43,17.2,15.53,17.32,16.55,17.32,15.67,34786
BIDU.US,20250403,89.74,82.18,89.74,78.63,89.87,82.31,89.87,78.82,25117
BEKE.US,20250403,20.9,19.47,20.9,18.6,21.03,19.59,21.03,18.73,15515
SPX500,20250403,5382.87,5066.84,5396.87,5035.85,5383.27,5067.24,5397.47,5036.45,1351614
IMCD.NL,20250403,120.44,116.609,121.941,114.539,120.86,116.939,122.411,114.959,10673
ETSY.US,20250403,48.44,44.35,48.44,43.43,48.58,44.48,48.58,43.66,13317
BTBT.US,20250403,1.91,1.97,1.97,1.69,2.04,2.09,2.1,1.82,1946
DHER.DE,20250403,22.27,21.42,22.51,20.32,22.4,21.55,22.82,21.1,18588
SPCE.US,20250403,2.74,2.66,2.74,2.46,2.87,2.79,2.87,2.59,3981
ZARJPY.FXCM,20250403,7.765,7.65,7.792,7.562,7.834,7.755,7.844,7.61,201131
ORA.FR,20250403,12.36,12.07,12.45,12.02,12.5,12.2,12.58,12.15,10291
AUDUSD.FXCM,20250403,0.63271,0.6035,0.63311,0.59857,0.63302,0.60447,0.63352,0.59875,699104
CSL.AU,20250403,256.8,256.05,261.68,255.29,257.53,256.9,262.48,256.07,31276
C.US,20250403,62.97,57.93,62.97,56.22,63.1,58.06,63.1,56.37,116473
SE.US,20250403,119.83,105.99,119.83,105.86,119.95,106.75,119.95,106.09,15712
REA.AU,20250403,226.41,223.6,228.38,222.22,227.08,224.53,229.31,223.24,23031
AUDCAD.FXCM,20250403,0.89123,0.85881,0.89204,0.8527,0.89267,0.86067,0.89293,0.85303,419411
ESPORTS,20250403,8267.0,7664.97,8267.0,7539.5,8268.0,7665.97,8268.0,7543.88,695325
DKNG.US,20250403,32.32,31.63,32.32,29.56,32.46,31.76,32.46,29.73,35470
CPNG.US,20250403,21.43,19.99,21.43,19.55,21.56,20.11,21.56,19.7,16709
SPOT.US,20250403,557.62,500.94,557.62,495.05,557.74,503.38,557.74,495.88,10628
