ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20230331,1825.0,1848.0,1819.0,1820.0,1800.0,20.0,1.1111,27446.33,5024790.356
600519.SH,20230330,1793.0,1805.0,1779.0,1800.0,1790.0,10.0,0.5587,19257.01,3453573.052
600519.SH,20230329,1799.0,1800.0,1785.07,1790.0,1781.8,8.2,0.4602,15392.99,2761909.333
600519.SH,20230328,1770.0,1790.0,1765.02,1781.8,1767.79,14.01,0.7925,17261.35,3073113.077
600519.SH,20230327,1778.6,1778.6,1756.0,1767.79,1778.62,-10.83,-0.6089,15295.55,2700755.933
600519.SH,20230324,1769.08,1783.6,1766.0,1778.62,1774.86,3.76,0.2118,12769.96,2269649.179
600519.SH,20230323,1766.0,1791.11,1765.01,1774.86,1773.35,1.51,0.0851,17355.66,3082821.551
600519.SH,20230322,1780.0,1793.0,1765.55,1773.35,1775.0,-1.65,-0.093,15330.26,2727648.674
600519.SH,20230321,1735.0,1785.85,1723.97,1775.0,1729.6,45.4,2.6249,31141.82,5491052.284
600519.SH,20230320,1751.0,1755.0,1728.0,1729.6,1742.0,-12.4,-0.7118,20490.93,3557872.017
600519.SH,20230317,1770.0,1775.89,1736.0,1742.0,1751.99,-9.99,-0.5702,27022.91,4744249.369
600519.SH,20230316,1740.0,1770.0,1739.01,1751.99,1750.92,1.07,0.0611,17646.24,3096791.142
600519.SH,20230315,1778.37,1784.88,1750.12,1750.92,1766.0,-15.08,-0.8539,19212.53,3392698.49
600519.SH,20230314,1763.78,1779.88,1738.5,1766.0,1762.0,4.0,0.227,23704.92,4177289.027
600519.SH,20230313,1751.0,1775.0,1749.0,1762.0,1750.0,12.0,0.6857,20560.43,3626476.291
600519.SH,20230310,1751.57,1781.0,1750.0,1750.0,1770.02,-20.02,-1.1311,21160.82,3725139.075
600519.SH,20230309,1768.0,1785.0,1740.0,1770.02,1770.42,-0.4,-0.0226,27611.5,4881442.71
600519.SH,20230308,1780.02,1785.94,1761.12,1770.42,1788.3,-17.88,-0.9998,22763.7,4035787.172
600519.SH,20230307,1805.98,1816.6,1788.0,1788.3,1807.14,-18.84,-1.0425,22785.39,4101302.456
600519.SH,20230306,1818.18,1818.5,1796.77,1807.14,1818.04,-10.9,-0.5995,20645.86,3730079.522
600519.SH,20230303,1839.77,1841.61,1802.48,1818.04,1828.0,-9.96,-0.5449,16198.06,2946842.659
600519.SH,20230302,1829.0,1838.99,1821.1,1828.0,1838.53,-10.53,-0.5727,13144.19,2405292.304
600519.SH,20230301,1813.0,1848.0,1803.23,1838.53,1813.74,24.79,1.3668,24458.1,4475592.195
600519.SH,20230228,1819.0,1822.01,1783.3,1813.74,1810.41,3.33,0.1839,23951.81,4314877.096
600519.SH,20230227,1778.5,1815.0,1775.02,1810.41,1788.0,22.41,1.2534,22064.89,3978128.676
600519.SH,20230224,1810.11,1810.19,1782.18,1788.0,1818.0,-30.0,-1.6502,24634.61,4415621.498
600519.SH,20230223,1840.0,1848.8,1805.25,1818.0,1836.0,-18.0,-0.9804,21880.97,3983991.208
600519.SH,20230222,1855.01,1863.9,1831.8,1836.0,1867.0,-31.0,-1.6604,21869.16,4031016.045
600519.SH,20230221,1874.0,1874.0,1851.0,1867.0,1875.0,-8.0,-0.4267,18750.52,3491633.51
600519.SH,20230220,1821.0,1878.8,1817.2,1875.0,1820.78,54.22,2.9778,29668.69,5488800.056
600519.SH,20230217,1850.16,1873.0,1820.05,1820.78,1861.82,-41.04,-2.2043,26442.83,4880328.952
600519.SH,20230216,1841.34,1887.0,1828.0,1861.82,1841.0,20.82,1.1309,33245.95,6196915.13
600519.SH,20230215,1843.78,1855.3,1835.81,1841.0,1843.79,-2.79,-0.1513,18176.91,3351422.211
600519.SH,20230214,1856.46,1857.4,1835.0,1843.79,1856.35,-12.56,-0.6766,19565.76,3601769.574
600519.SH,20230213,1810.0,1874.5,1810.0,1856.35,1810.0,46.35,2.5608,38146.7,7058382.498
600519.SH,20230210,1810.1,1818.49,1801.05,1810.0,1818.0,-8.0,-0.44,17984.51,3253859.317
600519.SH,20230209,1778.0,1829.75,1775.01,1818.0,1784.0,34.0,1.9058,29753.66,5401399.088
600519.SH,20230208,1800.01,1805.97,1775.0,1784.0,1797.0,-13.0,-0.7234,16675.77,2980574.806
600519.SH,20230207,1808.08,1808.8,1787.73,1797.0,1795.0,2.0,0.1114,24321.71,4373671.735
600519.SH,20230206,1780.0,1795.0,1760.0,1795.0,1818.0,-23.0,-1.2651,42660.95,7595739.044
