ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601318.SH,20230215,49.84,49.89,48.71,48.88,49.9,-1.02,-2.0441,461026.67,2259845.455
601318.SH,20230214,49.3,49.9,49.17,49.9,49.25,0.65,1.3198,370401.7,1835463.536
601318.SH,20230213,49.19,49.3,48.29,49.25,49.3,-0.05,-0.1014,457972.64,2238401.665
601318.SH,20230210,49.46,49.55,49.01,49.3,49.32,-0.02,-0.0406,309172.92,1523061.151
601318.SH,20230209,48.5,49.55,48.39,49.32,48.5,0.82,1.6907,564906.88,2781766.993
601318.SH,20230208,48.75,49.19,48.38,48.5,48.7,-0.2,-0.4107,347189.61,1690893.371
601318.SH,20230207,48.5,48.84,48.2,48.7,48.16,0.54,1.1213,444363.3,2159384.254
601318.SH,20230206,48.8,48.86,47.72,48.16,49.6,-1.44,-2.9032,921595.25,4431728.036
601318.SH,20230203,50.5,50.55,48.9,49.6,50.83,-1.23,-2.4198,927310.26,4582149.777
601318.SH,20230202,51.6,51.6,50.4,50.83,51.35,-0.52,-1.0127,636217.34,3228009.417
601318.SH,20230201,51.55,51.75,50.41,51.35,50.98,0.37,0.7258,565301.05,2882194.846
601318.SH,20230131,51.76,52.28,50.85,50.98,51.48,-0.5,-0.9713,612418.27,3152658.911
601318.SH,20230130,53.59,53.6,51.48,51.48,52.1,-0.62,-1.19,857578.85,4495653.729
601318.SH,20230120,52.1,52.24,51.5,52.1,51.81,0.29,0.5597,497069.34,2584605.516
601318.SH,20230119,51.4,51.87,51.15,51.81,51.55,0.26,0.5044,510460.54,2627239.788
601318.SH,20230118,51.5,51.87,51.16,51.55,51.5,0.05,0.0971,419602.96,2162689.506
601318.SH,20230117,51.96,52.07,51.0,51.5,52.09,-0.59,-1.1327,698872.53,3592536.756
601318.SH,20230116,52.52,53.48,51.49,52.09,52.35,-0.26,-0.4967,1229794.4,6455990.323
601318.SH,20230113,51.2,52.35,51.05,52.35,50.91,1.44,2.8285,896257.47,4644412.35
601318.SH,20230112,50.9,51.11,50.43,50.91,50.7,0.21,0.4142,600255.74,3057087.228
601318.SH,20230111,49.5,51.0,49.44,50.7,49.21,1.49,3.0278,966894.97,4881812.304
601318.SH,20230110,50.9,50.91,49.14,49.21,50.91,-1.7,-3.3392,837948.65,4173814.429
601318.SH,20230109,50.0,50.95,49.7,50.91,49.74,1.17,2.3522,881857.43,4446813.321
601318.SH,20230106,49.5,49.83,49.05,49.74,48.93,0.81,1.6554,780345.81,3867148.878
601318.SH,20230105,49.2,49.5,48.5,48.93,48.53,0.4,0.8242,737048.09,3608715.198
601318.SH,20230104,47.3,48.63,47.3,48.53,47.15,1.38,2.9268,869496.1,4183124.625
601318.SH,20230103,46.59,47.26,46.06,47.15,47.0,0.15,0.3191,602304.43,2815200.404
