date,open,high,low,close,volume,code,change_pct
2025-03-10,2682.883,2683.605,2653.027,2668.806,5083862300,000016.SH,
2025-03-11,2644.819,2682.223,2644.082,2682.223,4219446100,000016.SH,0.5027341815028841
2025-03-12,2684.72,2686.782,2666.488,2669.015,4344953300,000016.SH,-0.4924273634220655
2025-03-13,2670.993,2684.125,2655.333,2664.617,4249506800,000016.SH,-0.16477989070873278
2025-03-14,2674.495,2748.103,2674.026,2740.507,6548515200,000016.SH,2.8480640932636803
2025-03-17,2755.49,2755.944,2734.505,2737.923,4438073900,000016.SH,-0.09428912241422616
2025-03-18,2749.322,2751.726,2737.008,2739.745,3861119800,000016.SH,0.0665467947783771
2025-03-19,2737.313,2757.618,2733.566,2746.963,4632842300,000016.SH,0.2634551755729131
2025-03-20,2748.294,2749.221,2713.467,2718.186,3971076500,000016.SH,-1.0475932875688598
2025-03-21,2712.738,2722.49,2669.79,2675.358,4681078200,000016.SH,-1.5756096161189892
2025-03-24,2675.461,2696.344,2675.461,2693.331,4492393200,000016.SH,0.6717979425557186
2025-03-25,2695.297,2698.547,2685.287,2691.898,3709621400,000016.SH,-0.05320549163841948
2025-03-26,2692.417,2696.536,2675.703,2677.312,3783318900,000016.SH,-0.5418481680955267
2025-03-27,2673.935,2704.743,2673.774,2690.843,3647372300,000016.SH,0.5053949633064825
2025-03-28,2691.666,2692.703,2673.238,2679.74,3592005300,000016.SH,-0.4126216208080513
2025-03-31,2676.051,2692.444,2657.302,2665.634,4995136400,000016.SH,-0.5263943516908287
2025-04-01,2669.005,2674.113,2659.022,2662.711,4084747700,000016.SH,-0.10965496388477547
2025-04-02,2659.103,2669.357,2653.452,2658.621,3216863400,000016.SH,-0.1536028506285425
2025-04-03,2631.475,2671.712,2631.475,2662.252,4217357100,000016.SH,0.13657456252695876
2025-04-07,2555.71,2579.597,2457.08,2516.965,10270123100,000016.SH,-5.457297055275001
