date,open,high,low,close,volume,code,change_pct
2025-03-10,10862.929,10896.11,10747.137,10825.704,67492626325,399001.SZ,
2025-03-11,10698.807,10861.164,10692.719,10861.164,67024477222,399001.SZ,0.32755375539550435
2025-03-12,10897.425,10939.568,10828.424,10843.227,75683423892,399001.SZ,-0.16514804490568302
2025-03-13,10830.108,10865.319,10677.837,10736.194,73031655596,399001.SZ,-0.9870954467706139
2025-03-14,10741.522,10985.951,10737.625,10978.299,75821380703,399001.SZ,2.255035629944846
2025-03-17,11009.574,11015.469,10940.771,10957.818,70157392693,399001.SZ,-0.18655895599128947
2025-03-18,10999.322,11041.412,10958.871,11014.747,67026091831,399001.SZ,0.5195286141821409
2025-03-19,11003.733,11030.188,10916.279,10979.052,65830605489,399001.SZ,-0.3240655459449071
2025-03-20,10971.412,10973.141,10869.164,10879.489,66033277818,399001.SZ,-0.9068451447356352
2025-03-21,10843.979,10898.257,10656.879,10687.554,73797742505,399001.SZ,-1.764191314500152
2025-03-24,10695.018,10723.753,10563.885,10695.488,73186830760,399001.SZ,0.07423588222337241
2025-03-25,10702.689,10735.55,10618.052,10649.076,60284329360,399001.SZ,-0.4339399941358457
2025-03-26,10636.116,10703.037,10635.779,10643.819,56246349670,399001.SZ,-0.049365785350763414
2025-03-27,10610.886,10745.09,10556.615,10668.101,57357559191,399001.SZ,0.22813240247698818
2025-03-28,10658.152,10688.05,10593.853,10607.331,55060153716,399001.SZ,-0.569642150932026
2025-03-31,10559.656,10609.766,10427.955,10504.332,56671275642,399001.SZ,-0.9710171201407714
2025-04-01,10523.646,10581.979,10491.703,10503.655,50596571318,399001.SZ,-0.006444960041240844
2025-04-02,10500.527,10573.008,10490.849,10513.117,45905545136,399001.SZ,0.09008292827592523
2025-04-03,10384.95,10481.599,10328.023,10365.731,52253863357,399001.SZ,-1.4019248525437344
2025-04-07,9747.661,9831.63,9220.124,9364.498,72979895617,399001.SZ,-9.659067942241606
